Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Petroleum Engineering,93200.0,187300.0
Operations Research & Industrial Engineering,84800.0,170400.0
Electrical Engineering & Computer Science (EECS),108500.0,159300.0
Interaction Design,68300.0,155800.0
Public Accounting,59800.0,147700.0
Operations Research,83500.0,147400.0
Applied Economics and Management,66100.0,146400.0
Business Computing (BC),73000.0,143600.0
Actuarial Mathematics,64300.0,143400.0
Electrical Power Engineering,76100.0,142600.0
Information & Computer Science,58600.0,140900.0
Aeronautics & Astronautics,77600.0,139600.0
Systems Engineering,77700.0,139200.0
Econometrics,64200.0,139000.0
Pharmacy,68600.0,138700.0
Aerospace Studies,55800.0,136600.0
Building Science,53800.0,135900.0
Chemical Engineering,76900.0,135900.0
Cognitive Science,68700.0,135200.0
Actuarial Science,67700.0,134400.0
Political Economy,65100.0,133500.0
Computer Systems Engineering,79000.0,133200.0
Electrical & Computer Engineering (ECE),78100.0,131600.0
Computer Science (CS) & Engineering,79400.0,131300.0
Marine Engineering,79900.0,131300.0
Aeronautical Engineering,74700.0,131100.0
Computer Engineering (CE),79000.0,131000.0
Naval Architecture & Marine Engineering,74400.0,130700.0
Entrepreneurship & Marketing,51400.0,129800.0
Corporate Accounting & Finance,65200.0,129700.0
Mechatronics,72800.0,129600.0
Nuclear Engineering,76400.0,129400.0
Electrical Engineering (EE),75600.0,127700.0
Foreign Affairs,54800.0,127700.0
Marine Transportation Management,71100.0,127500.0
Mechanical & Aeronautical Engineering,70900.0,126900.0
Welding Engineering,81000.0,126600.0
Instrumentation & Control Engineering,73100.0,126400.0
Computational & Applied Mathematics,75500.0,126000.0
Electrical & Electronics Engineering (EEE),74700.0,125800.0
Aerospace Engineering,74300.0,125700.0
Astronomy,66600.0,125400.0
Optical Science & Engineering,71000.0,125400.0
Quantitative Business Analysis,74000.0,125400.0
Computer Science (CS) & Mathematics,70500.0,125100.0
Industrial & Systems Engineering,73100.0,124800.0
Economics and Mathematics,68200.0,124100.0
Biomedical Engineering (BME),71300.0,123600.0
Managerial Economics,65200.0,123600.0
Computer Science (CS),75100.0,123400.0
Physics & Astronomy,56500.0,123400.0
Petroleum Land Management,59300.0,123100.0
Bioscience,49200.0,123100.0
Electronics & Communications Engineering,67400.0,122900.0
Control Engineering,69700.0,122800.0
Pharmacology,57700.0,122700.0
Business Analysis,63200.0,122300.0
Aeronautical Science & Engineering,56000.0,122200.0
Metallurgical Engineering,81800.0,122200.0
Engineering Science,67900.0,122100.0
Applied Mathematics,68300.0,122000.0
Chemical & Biomolecular Engineering,76800.0,121900.0
Materials Science,67100.0,121800.0
Engineering,69900.0,121700.0
Ocean Engineering (OE),69400.0,121400.0
Bioengineering (BioE),70900.0,121300.0
Aeronautical/Aerospace Engineering Technology,76900.0,121200.0
Integrated Science & Technology,65200.0,121100.0
Operations Management & Information Systems,66100.0,120900.0
Software Engineering,75000.0,120000.0
Physics,65900.0,119700.0
Quantitative Economics,65000.0,119600.0
Computer & Information Science,63600.0,119500.0
Geophysics,58000.0,119000.0
Accounting & Economics,65900.0,118900.0
Physician Assistant Studies,95900.0,118500.0
Mining Engineering,78800.0,118300.0
Construction Engineering Management,68800.0,118200.0
Mechanical Engineering (ME),71000.0,117600.0
Materials Science & Engineering,72700.0,117500.0
Engineering Mechanics,75500.0,117400.0
Industrial Engineering (IE),71900.0,117400.0
International Business & Finance,61400.0,117400.0
Accounting & Computer Systems,63000.0,117300.0
Business & Information Technology (IT),60100.0,116900.0
Applied Physics,67300.0,116500.0
International Economics,58700.0,116300.0
Business & Economics,59600.0,116200.0
Ceramic Engineering,69200.0,115700.0
Economics,62000.0,115700.0
Pharmaceutical Sciences (PS),52800.0,115700.0
Telecommunications Engineering,66400.0,115400.0
Information & Decision Sciences,65200.0,115200.0
Materials Engineering,72300.0,115200.0
Paper Science,77000.0,115200.0
Asian Studies,47700.0,115100.0
Structural Engineering (SE),67800.0,115100.0
Industrial Distribution,63600.0,115000.0
Management Information Systems (MIS),65000.0,114100.0
Electronics Engineering,69600.0,113900.0
Finance & Economics,62600.0,113900.0
Medical Science,52000.0,113800.0
Japanese Studies,51500.0,113800.0
Automotive Engineering,67300.0,113800.0
Information Management,64300.0,112800.0
Management Science,64600.0,112700.0
Mechanical,70200.0,112700.0
Construction Engineering,67300.0,112500.0
Finance & Investments,64100.0,112400.0
Mathematics & Statistics,63100.0,112400.0
Information Systems Management,59200.0,112300.0
Construction Project Management,61100.0,112200.0
Engineering Management,69000.0,112200.0
Packaging Science,70000.0,112200.0
Industrial Engineering & Management,68300.0,112000.0
Engineering Physics,70500.0,111800.0
Energy Management,72300.0,111700.0
Aeronautical Science,57700.0,111600.0
Government,55100.0,111200.0
Software Applications & Programming,59300.0,110800.0
Astrophysics,69300.0,110700.0
Bioenvironmental Science,47700.0,110500.0
Japanese Language,53300.0,110300.0
Business Economics,58400.0,110200.0
Finance & Real Estate,63000.0,110200.0
Manufacturing Engineering,69300.0,110000.0
Atmospheric Science,48700.0,109900.0
Cybersecurity,65600.0,109800.0
Information Security & Assurance,61400.0,109300.0
Medicine,60600.0,109200.0
Civil Engineering (CE),65000.0,109000.0
Environmental Health & Safety Management,61100.0,108800.0
Mathematics,63500.0,108700.0
Applied Economics,61400.0,108600.0
Construction Science,67400.0,108500.0
Political Communication,48800.0,108500.0
Marketing & International Business,52500.0,108400.0
Software Development,65500.0,108400.0
Biochemistry & Molecular Biology,53900.0,108100.0
Computing,63500.0,108000.0
Construction Management,63200.0,108000.0
Accounting & Taxation,55600.0,107800.0
Building Construction (BC),67200.0,107800.0
International & Comparative Politics,45700.0,107800.0
Civil & Environmental Engineering,65300.0,107500.0
Business Information Systems,65000.0,107400.0
Financial Economics,63300.0,107200.0
Sales & Business Marketing,55900.0,107200.0
Plastics Engineering,68400.0,107100.0
Information Technology Management,63400.0,107000.0
Polymer Science & Engineering,74500.0,106900.0
Informatics,70300.0,106800.0
Computer Management Information Systems (CMIS),55700.0,106600.0
Information Systems (IS),63900.0,106600.0
Agricultural Economics,55600.0,106300.0
Data Processing,65600.0,106200.0
European Studies,47500.0,106100.0
Biosystems Engineering,64700.0,106000.0
Nuclear Engineering Technology (NET),83500.0,106000.0
Economics & Political Science,57100.0,105700.0
Global & International Studies,50000.0,105700.0
Organic Chemistry,44500.0,105600.0
Industrial Hygiene,58600.0,105500.0
Safety Science,62400.0,105500.0
Commerce,66800.0,105400.0
Rhetoric,51600.0,105400.0
Business Computer Information Systems (BCIS),64000.0,105300.0
Finance,60200.0,105200.0
Plastics Engineering Technology,66900.0,105100.0
Molecular Biology,54100.0,105000.0
Environmental Engineering,62600.0,104800.0
International Management,54100.0,104800.0
Computer Information Systems,59400.0,104700.0
Corporate Finance,63600.0,104300.0
Genetics,52200.0,104100.0
